pcd,reg,lat,long
SE1 1RD,SE1,51.500974,-0.095699
SE1 1RE,SE1,51.500974,-0.095699
SE1 1RF,SE1,51.500974,-0.095699
SE1 1RG,SE1,51.504632,-0.090604
SE1 1RH,SE1,51.504309,-0.092318
SE1 1RJ,SE1,51.504309,-0.092318
SE1 1RQ,SE1,51.504557,-0.091417
SE1 1RT,SE1,51.492762,-0.080152
SE1 1RU,SE1,51.504661,-0.094468
SE1 1RX,SE1,51.504356,-0.095198
SE1 1RZ,SE1,51.504309,-0.092318
SE1 1SA,SE1,51.504875,-0.09666
SE1 1SB,SE1,51.501838,-0.094063
SE1 1SD,SE1,51.50351,-0.093504
SE1 1SE,SE1,51.503458,-0.095235
SE1 1SF,SE1,51.503481,-0.096675
SE1 1SG,SE1,51.503841,-0.095032
SE1 1SH,SE1,51.504709,-0.095327
SE1 1SJ,SE1,51.503411,-0.092355
SE1 1SQ,SE1,51.503434,-0.093795
SE1 1ST,SE1,51.503536,-0.091788
SE1 1SU,SE1,51.492762,-0.080152
SE1 1SZ,SE1,51.503517,-0.092236
SE1 1TA,SE1,51.504052,-0.093625
SE1 1TB,SE1,51.503434,-0.093795
SE1 1TD,SE1,51.504046,-0.09436
SE1 1TE,SE1,51.504515,-0.094358
SE1 1TF,SE1,51.503434,-0.093795
SE1 1TG,SE1,51.503434,-0.093795
SE1 1TJ,SE1,51.505001,-0.090491
SE1 1TL,SE1,51.50548,-0.090756
SE1 1TN,SE1,51.504286,-0.090878
SE1 1TP,SE1,51.504309,-0.092318
SE1 1TQ,SE1,51.505196,-0.089748
SE1 1TR,SE1,51.504309,-0.092318
SE1 1TS,SE1,51.505053,-0.090514
